ID,GAGEID_short,Elev_band,AvgWinterTemp,AvgAnnualTemp,PeakSWE,NovTemp,DecTemp,JanTemp,FebTemp,Cluster
Upper Colorado Region_13,Upper Colorado Region,13,9.198874654,15.08225942,5.439172469,8.387551346,3.062704399,2.608201227,5.521657039,1
Upper Colorado Region_14,Upper Colorado Region,14,7.128153912,13.73496304,7.662244899,6.698346211,1.040708385,0.308178392,3.853848084,1
Upper Colorado Region_15,Upper Colorado Region,15,5.890408169,12.60794236,9.46774819,5.497833027,-0.278633539,-1.019469929,2.67045018,1
Upper Colorado Region_16,Upper Colorado Region,16,4.728362625,11.70488734,11.16828645,4.751461375,-1.119492574,-1.931918058,1.666263025,1
Upper Colorado Region_17,Upper Colorado Region,17,4.33837128,11.19345076,12.90375282,4.389929013,-1.394435798,-2.15106584,1.269027069,1.018518519
Upper Colorado Region_18,Upper Colorado Region,18,3.3536672,10.47623231,16.20171776,3.778120633,-1.985684355,-2.739338686,0.611775631,1
Upper Colorado Region_19,Upper Colorado Region,19,2.177903593,9.65659343,21.441237,3.037135236,-2.750648473,-3.534382,-0.237794805,1
Upper Colorado Region_20,Upper Colorado Region,20,0.088933104,7.964599815,26.36898495,1.388331307,-4.439403062,-5.234125813,-2.24755104,1
Upper Colorado Region_21,Upper Colorado Region,21,-1.196340439,6.613726183,27.29372437,-0.000274267,-5.659108569,-6.298615764,-3.733444073,1
Upper Colorado Region_22,Upper Colorado Region,22,-2.631064343,5.527561189,38.44917231,-1.061245139,-6.819264214,-7.476130383,-4.917297982,1
Upper Colorado Region_23,Upper Colorado Region,23,-3.252731674,5.018179853,64.81989206,-1.522426657,-7.428328087,-8.196650472,-5.384102824,1
Upper Colorado Region_24,Upper Colorado Region,24,-3.757628057,4.482095391,105.0331625,-1.965883661,-7.897521175,-8.694248599,-5.799787809,1.018518519
Upper Colorado Region_25,Upper Colorado Region,25,-4.273412825,3.806452481,137.3850511,-2.470014127,-8.418984685,-9.24964621,-6.437695516,1.018518519
Upper Colorado Region_26,Upper Colorado Region,26,-5.04998606,2.994950483,168.3389334,-3.139622602,-9.171948279,-10.11582016,-7.379294211,1.018518519
Upper Colorado Region_27,Upper Colorado Region,27,-5.915692858,2.042555585,212.134541,-3.965401413,-10.01057522,-10.92048894,-8.397318141,1.018518519
Upper Colorado Region_28,Upper Colorado Region,28,-6.583590351,1.239160542,250.400224,-4.749693822,-10.80198687,-11.70564968,-9.184370747,1.037037037
Upper Colorado Region_29,Upper Colorado Region,29,-6.721260291,1.112510898,253.9955348,-4.888751001,-10.9433168,-11.92050863,-9.306767284,1.018518519
Upper Colorado Region_30,Upper Colorado Region,30,-7.062542792,0.510947832,273.7078965,-5.324834,-11.35936623,-12.34273275,-9.874215342,1.055555556
Upper Colorado Region_31,Upper Colorado Region,31,-7.504837247,-0.095049898,324.1916434,-5.902830965,-11.86467022,-12.83651151,-10.40089114,1.018518519
Upper Colorado Region_32,Upper Colorado Region,32,-8.321454959,-0.993441969,373.606574,-6.884926889,-12.93009089,-13.86172509,-11.42443587,1.018518519
Upper Colorado Region_33,Upper Colorado Region,33,-8.456118305,-1.319609202,395.7954811,-7.094285994,-12.92634046,-13.82870406,-11.52036163,1.018518519
Upper Colorado Region_34,Upper Colorado Region,34,-9.022193022,-1.981877029,432.352913,-7.696589201,-13.58119446,-14.48816542,-12.26515336,1
Upper Colorado Region_35,Upper Colorado Region,35,-9.330034121,-2.469364299,461.6545439,-8.149575238,-13.98710564,-14.8608625,-12.642037,1
Upper Colorado Region_36,Upper Colorado Region,36,-9.335966428,-2.524777199,431.5572477,-8.216945472,-13.97367937,-14.73696705,-12.55357056,1
Upper Colorado Region_37,Upper Colorado Region,37,-8.947661564,-2.325954861,510.741335,-7.870048457,-13.47153555,-14.31743163,-12.16238881,1
